sample,seed,rf_common,rf_form_specific,ridge_additive,ridge_form_interactions,ridge_interaction_increment,rf_specific_increment
A,20260925,0.04809686166076255,0.04097107275805911,0.042196677095614255,0.018740492220030824,-0.02345618487558343,-0.007125788902703434
A,20260926,0.04871566711964537,0.04009024558096441,0.0371833517071406,0.017836677385482336,-0.019346674321658264,-0.008625421538680955
A,20260927,0.04704293991090547,0.03788090983981984,0.03696379676982531,0.024043060466416466,-0.012920736303408842,-0.009162030071085625
A,20260928,0.04691692465129382,0.04330722907822704,0.0370177163649974,0.02543277244232811,-0.011584943922669289,-0.0036096955730667846
A,20260929,0.0487214238869903,0.036450985595975816,0.03490841035362746,0.019167401698757858,-0.015741008654869604,-0.012270438291014485
C,20260925,0.051360664209961104,0.04045475784595187,0.04069342978702628,0.021090774592587014,-0.019602655194439267,-0.010905906364009232
C,20260926,0.04984134222474523,0.03748182328666683,0.04084132779175298,0.017575832514012513,-0.023265495277740467,-0.012359518938078407
C,20260927,0.0518644806780264,0.044483047208538684,0.03817147686309741,0.019533266404462513,-0.018638210458634896,-0.007381433469487719
C,20260928,0.050060840255243044,0.040922608045258824,0.03976118088096492,0.025223045367541275,-0.014538135513423645,-0.00913823220998422
C,20260929,0.05033151039465611,0.03957499065281245,0.04197184818143773,0.022253302476548886,-0.019718545704888846,-0.010756519741843662
Q1,20260925,0.025925312373346943,0.017538170566870903,0.018739739347864548,-0.029092433470740087,-0.047832172818604635,-0.00838714180647604
Q1,20260926,0.02682603685601115,0.021626592163995317,0.017166116740826576,-0.027152752055616514,-0.04431886879644309,-0.005199444692015831
Q1,20260927,0.029047197394780233,0.021099062156221038,0.013754442278476997,-0.039336233954635924,-0.05309067623311292,-0.007948135238559195
Q1,20260928,0.027553373394781255,0.023922765808454094,0.02313089620278519,-0.020888274420434616,-0.044019170623219805,-0.0036306075863271614
Q1,20260929,0.032327971312104076,0.023364986050174896,0.019280090814422612,-0.029165977260147358,-0.04844606807456997,-0.00896298526192918
Q2,20260925,-0.005678016203116476,-0.006984943126224996,-0.05437034021583287,-0.15947025688622407,-0.1050999166703912,-0.00130692692310852
Q2,20260926,0.004271173534815653,0.0037126885923158826,-0.029102127862544735,-0.10051131313534634,-0.0714091852728016,-0.0005584849424997707
Q2,20260927,0.009570283545788372,-0.0006673608845837453,-0.031383394664529884,-0.09829287976115353,-0.06690948509662364,-0.010237644430372117
Q2,20260928,-0.003011547661387448,-0.0023234864394181542,-0.0311454042853494,-0.1175641591127452,-0.0864187548273958,0.0006880612219692939
Q2,20260929,0.011042155589809699,0.013399097632103452,-0.01344365324926633,-0.05836730732549644,-0.04492365407623011,0.0023569420422937526
R,20260925,0.047944491074672024,0.04284836483980281,0.03600038341996603,0.023793836148934933,-0.012206547271031098,-0.005096126234869214
R,20260926,0.04582453261022079,0.039003301591787554,0.031249254883497724,0.018183058292684517,-0.013066196590813206,-0.006821231018433238
R,20260927,0.047877962366336235,0.03940339393461045,0.042587743698359715,0.025654318527954967,-0.016933425170404748,-0.008474568431725782
R,20260928,0.05168638722474639,0.03738007650069275,0.03899324434267548,0.020440915208882693,-0.01855232913379279,-0.014306310724053639
R,20260929,0.050908536071168076,0.0412613034945053,0.03874150096553364,0.018121927271812943,-0.020619573693720694,-0.009647232576662779
