domain,encoded_predictor,context,row_type,standardized_coef,lo,p10,p25,p50,p75,p90,hi,pooled_coef,fixed_display_subset,bootstrap_B,panel
security_pressure,q06_socsec,cash,form,-0.011164336,-0.036301967035979,-0.026988978497684,-0.0208189175464212,-0.0112980473786592,-0.0017860317020677,0.0040158324409276,0.0154843389987945,-0.008913421,True,300,A
security_pressure,q06_socsec,food,form,-0.005777253,-0.0287288337014615,-0.0211725577712059,-0.0145653004292398,-0.0052481752354651,0.002870901254937,0.0113883137702941,0.0188844295684248,-0.008913421,True,300,A
security_pressure,q06_socsec,medical,form,-0.004616227,-0.0285263204015791,-0.0201970359310507,-0.0122709188144654,-0.0055879449937492,0.0022060396731831,0.0093208755366504,0.0171162987593561,-0.008913421,True,300,A
security_pressure,q09_gain,cash,form,0.021395013,-0.0063444311730563,0.0016251836786977,0.0122604863718152,0.0216936692595481,0.0298421503975987,0.0385108456015586,0.0475273381918668,0.01115775,True,300,A
security_pressure,q09_gain,food,form,0.0076596537,-0.0178276367485523,-0.0102490103803575,-0.0001680043496889,0.0078180595301091,0.0171028678305447,0.0264040121808648,0.0381056888960301,0.01115775,True,300,A
security_pressure,q09_gain,medical,form,0.008107026,-0.0160985091235488,-0.0075893449131399,-0.0009301118552684,0.0080013126134872,0.0162541270256042,0.0233458956703543,0.0306112821679561,0.01115775,True,300,A
security_pressure,q10_effort,cash,form,-0.0022369295,-0.0326751094311475,-0.0205314358696341,-0.0119562449399381,-0.00154009682592,0.0063369845738634,0.0150113478302955,0.0250093541573733,-0.00722532,True,300,A
security_pressure,q10_effort,food,form,-0.012758344,-0.0391228835098445,-0.0279390599578619,-0.0201783268712461,-0.0116224479861557,-0.0028618046198971,0.0029888464370742,0.0135429674061014,-0.00722532,True,300,A
security_pressure,q10_effort,medical,form,-0.010821444,-0.0313160543795675,-0.025090143457055,-0.0194169199094176,-0.0104077267460525,-0.0027887018513865,0.0035795364994555,0.0119251134339719,-0.00722532,True,300,A
security_pressure,q11_mobility,cash,form,-0.03283969,-0.0595434132032096,-0.0489940643310546,-0.041607491672039,-0.031158990226686,-0.021974831353873,-0.0141150161623954,-0.0046934935264289,-0.014202364,True,300,A
security_pressure,q11_mobility,food,form,-0.024886146,-0.0480844658799469,-0.0420411832630634,-0.0355443404987454,-0.026147929020226,-0.0167500390671193,-0.0098039302974939,-0.0017733434709953,-0.014202364,True,300,A
security_pressure,q11_mobility,medical,form,9.698365e-05,-0.021790297422558,-0.0137248539365828,-0.0069660787703469,-7.680909766349941e-05,0.0071104671806097,0.0135040915571153,0.0210282661020755,-0.014202364,True,300,A
expectations,q17b_fut_job,cash,form,-0.013297463,-0.0403305853717029,-0.0294534444808959,-0.0215189005248248,-0.0125897219404578,-0.0040612310403957,0.0043215085286647,0.0145945273805409,-0.012811091,True,300,A
expectations,q17b_fut_job,food,form,-0.015607756,-0.0413478701375424,-0.0327235724776983,-0.0238760421052575,-0.0151268704794347,-0.0064195923041552,0.00137734352611,0.010755805671215,-0.012811091,True,300,A
expectations,q17b_fut_job,medical,form,0.0046833167,-0.0162897433619946,-0.0091329115442931,-0.0019042544008698,0.0049320012331008,0.0112639211583882,0.0184701370075345,0.0254635989200323,-0.012811091,True,300,A
expectations,q17e_fut_welfare,cash,form,-1.6855e-05,-0.0263243157882243,-0.017309664748609,-0.0091955510433763,0.0007475329039152,0.0083788360934704,0.014271895494312,0.0210829595569521,0.0126335025,True,300,A
expectations,q17e_fut_welfare,food,form,0.027941398,0.0032874195487238,0.0106987576931715,0.0213023237884044,0.0289694145321846,0.0362128168344497,0.0445238966494798,0.0502405315637588,0.0126335025,True,300,A
expectations,q17e_fut_welfare,medical,form,0.0026225545,-0.021875905059278,-0.0114028714597225,-0.0038501497474499,0.0034777713008224,0.0112344636581838,0.0166289305314421,0.0245153692550957,0.0126335025,True,300,A
security_pressure,q18_ses_now,cash,form,0.0028473674,-0.021703418996185,-0.0140616236254572,-0.0059816695284098,0.002661379170604,0.0108951898291707,0.0190842306241393,0.0278924273326992,-0.008546379,True,300,A
security_pressure,q18_ses_now,food,form,-0.009399861,-0.0335113415494561,-0.0260334322229027,-0.0181284411810338,-0.0082998261786997,0.0024913841625675,0.0083808368071913,0.0209505278151482,-0.008546379,True,300,A
security_pressure,q18_ses_now,medical,form,-0.022252917,-0.0446468881331384,-0.0354212544858455,-0.0307195214554667,-0.0210108859464526,-0.0139590490143746,-0.0060958492103963,0.0011054031157982,-0.008546379,True,300,A
expectations,q20_ses_next1,cash,form,-0.0122562805,-0.0388652557507157,-0.0292998552322387,-0.020251044537872,-0.0121004078537225,-0.0037950394907966,0.0022791804745793,0.0151164981303736,-0.015150811,True,300,A
expectations,q20_ses_next1,food,form,-0.0212739,-0.0445899755693972,-0.0364735409617424,-0.0290404586121439,-0.0214414158836007,-0.0120642364490777,-0.0051627348177134,0.0013496518455212,-0.015150811,True,300,A
