panel,form_vs_cash,bin_left,bin_right,count,share,N,predicted_positive_N,predicted_positive_share,predicted_advantage_mean,predicted_p05,predicted_p50,predicted_p95,positive_subgroup_DR_contrast,contrast_lo,contrast_hi,population_contribution,contribution_lo,contribution_hi,policy,selected_form,selected_N,assignment_share,selected_DR_contrast,selected_lo,selected_hi,contribution,seed,estimator,medical_selected_N,medical_selected_share,all_cash_value,policy_value,gain_vs_cash,gain_lo,gain_hi,status
A,food,-0.2539983212713738,-0.2438383884205188,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.2438383884205188,-0.2336784555696638,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.2336784555696638,-0.2235185227188089,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.2235185227188089,-0.2133585898679539,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.2133585898679539,-0.203198657017099,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.203198657017099,-0.193038724166244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.193038724166244,-0.1828787913153891,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.1828787913153891,-0.1727188584645341,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.1727188584645341,-0.1625589256136792,3.0,0.0005457522284882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.1625589256136792,-0.1523989927628242,10.0,0.0018191740949608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.1523989927628242,-0.1422390599119693,2.0,0.0003638348189921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.1422390599119693,-0.1320791270611143,15.0,0.0027287611424413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.1320791270611143,-0.1219191942102594,30.0,0.0054575222848826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.1219191942102594,-0.1117592613594044,46.0,0.00836820083682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.1117592613594044,-0.1015993285085495,62.0,0.0112788793887575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.1015993285085495,-0.0914393956576945,93.0,0.0169183190831362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.0914393956576945,-0.0812794628068396,139.0,0.0252865199199563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.0812794628068396,-0.0711195299559846,193.0,0.0351100600327451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,food,-0.0711195299559846,-0.0609595971051297,282.0,0.051300709477897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
